time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/std,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward,curriculum/shake_force
1283,71,762.05,759.9710178900001,226,290816,8.088533333333334e-05,-0.0015235157938150224,700,-0.005657279398292303,0.0692626953125,0.319955974817276,0.08088533333333334,-0.2788638897240162,0.9336476922035217,0.0011763259148210637,0.0010018327,,,
1292,72,769.03,766.9560839599998,228,294912,8.061226666666667e-05,-0.0018938805063953624,710,-0.0016027821693569422,0.1559814453125,0.32030925154685974,0.08061226666666667,-0.2800179697573185,0.8026811480522156,0.008177777501987293,0.002141339,,,
1301,73,750.03,747.9838312700001,229,299008,8.03392e-05,-0.001774817318073474,720,-0.002256112638860941,0.1102783203125,0.32119813561439514,0.0803392,-0.281715153157711,0.6739504933357239,0.007036539429100231,0.0010030551,,,
,,,,,300000,8.006613333333334e-05,-0.0005925513483816758,730,0.00201451126486063,0.10478515625,0.32143422961235046,0.08006613333333334,-0.28393275253474715,0.8764075040817261,0.007669575593899936,0.0012184002,983.6,981.579898,
1364,74,741.03,738.9756372400001,222,303104,,,,,,,,,,,,,,0.0375
1373,75,731.22,729.14231965,223,307200,7.979306666666667e-05,-0.0024532214607461355,740,-0.0050235469825565815,0.087158203125,0.321490079164505,0.07979306666666668,-0.2840707629919052,0.9237189292907715,0.0038821146299596876,0.0012617862,,,
1383,76,723.63,721.5708024999999,224,311296,7.952e-05,-0.001364125229883939,750,-0.00679003493860364,0.1145751953125,0.3220767378807068,0.07952000000000001,-0.2851337995380163,0.8954572677612305,0.0031710053175629583,0.001143761,,,
1393,77,749.1,747.0395758100001,226,315392,7.924693333333334e-05,-0.0008705291838850826,760,0.0047267526388168335,0.1472900390625,0.3233282268047333,0.07924693333333334,-0.2878863446414471,0.683658242225647,0.01397603777659242,0.0018406721,,,
1403,78,727.2,725.12389759,227,319488,7.897386666666667e-05,0.0008489080762956291,770,-0.0021631093695759773,0.1642822265625,0.32346785068511963,0.07897386666666667,-0.2900984473526478,0.7896875143051147,0.009305647187284194,0.0014449102,,,
,,,,,320000,7.87008e-05,0.0004831544996704906,780,0.006169008556753397,0.112109375,0.32318198680877686,0.07870080000000002,-0.2898333504796028,0.7392451763153076,0.02375747452606447,0.001557447,802.9,800.9667870999999,
1455,79,717.3,715.2706687000001,222,323584,,,,,,,,,,,,,,0.046875
1464,80,697.75,695.71975991,223,327680,7.842773333333333e-05,-0.0023913562108646147,790,-2.10560392588377e-06,0.1065185546875,0.32298165559768677,0.07842773333333333,-0.28904684334993364,0.8329676389694214,0.008698898338479921,0.0013716072,,,
1474,81,694.42,692.3880889799999,224,331776,7.815466666666667e-05,-0.0015656495277653448,800,0.002346842549741268,0.0710205078125,0.3233034014701843,0.07815466666666666,-0.28911817669868467,0.956587016582489,0.003641720159794204,0.0009785675,,,
1484,82,714.4,712.30995788,226,335872,7.78816e-05,-0.0014498512624413705,810,0.011018309742212296,0.090576171875,0.32402509450912476,0.0778816,-0.2908389039337635,0.6747939586639404,0.0307470889063552,0.0012471776,,,
1494,83,704.55,702.4104416399999,227,339968,7.760853333333334e-05,-0.0013120469404384494,820,0.004598747473210096,0.0927978515625,0.3246416449546814,0.07760853333333334,-0.29308010675013063,0.7814838886260986,0.017677781498059632,0.0016293648,,,
,,,,,340000,7.733546666666667e-05,-0.000479874799202662,830,-0.0019302680157124996,0.081005859375,0.32471591234207153,0.07733546666666667,-0.29405766911804676,0.9847270846366882,0.0007645683199370978,0.0018367153,606.4,604.6688011000001,
1535,84,694.8,692.6881881499999,224,344064,,,,,,,,,,,,,,0.046875
1546,85,714.27,712.1700984200002,225,348160,7.70624e-05,-3.144588772556745e-05,840,-0.004331044387072325,0.1021484375,0.3249914348125458,0.0770624,-0.29461070112884047,0.8827858567237854,0.001089879989376641,0.00087206694,,,
1555,86,684.89,682.78783413,226,352256,7.678933333333333e-05,-0.0005628216909826733,850,-0.004958129022270441,0.069921875,0.32437118887901306,0.07678933333333333,-0.29424144998192786,0.18377017974853516,0.0008785237507254351,0.0007731421,,,
1565,87,677.77,675.6935609300001,227,356352,7.651626666666666e-05,-0.0014514348571537995,860,-0.0009099429007619619,0.116455078125,0.3243418037891388,0.07651626666666667,-0.2928985200822353,0.9026892781257629,0.005487179375631967,0.0015384416,,,
,,,,,360000,7.62432e-05,-0.0007885020750109106,870,0.005989874713122845,0.1542236328125,0.3253885805606842,0.07624320000000001,-0.29444443844258783,0.8683406710624695,0.01801976523711346,0.0018825716,516.2,514.5116335,
1602,88,657.2,655.09996525,224,360448,,,,,,,,,,,,,,0.046875
1612,89,666.97,664.83763324,226,364544,7.597013333333334e-05,-0.0009144658455625176,880,0.006521677598357201,0.1071044921875,0.32594627141952515,0.07597013333333334,-0.2971248012036085,0.8291901350021362,0.018301747435180003,0.0011799184,,,
1621,90,676.79,674.69281036,227,368640,7.569706666666667e-05,-0.0012633602222194896,890,0.014080364257097244,0.09892578125,0.32641351222991943,0.07569706666666667,-0.2986184824258089,0.7296874523162842,0.03439510344760492,0.0011127758,,,
1631,91,696.84,694.6723792600002,228,372736,7.5424e-05,-0.001105726055902778,900,-0.003866149578243494,0.098046875,0.3254659175872803,0.075424,-0.2980562325567007,-0.8856519460678101,0.003957341875502607,0.0010239568,,,
1641,92,706.59,704.41668232,229,376832,7.515093333333335e-05,-0.0031796915689483287,910,-0.0029944709967821836,0.115478515625,0.3263656497001648,0.07515093333333334,-0.2976402170956135,0.6293903589248657,0.00572023332642857,0.0012989951,,,
,,,,,380000,7.487786666666668e-05,-0.0003038823138922453,920,-5.388516001403332e-05,0.08935546875,0.3268669843673706,0.07487786666666668,-0.30008417926728725,0.35339927673339844,0.008656760583107825,0.0013558109,798.3,795.8154761999999,
1691,93,704.32,702.12243737,225,380928,,,,,,,,,,,,,,0.046875
1700,94,698.29,696.08513767,226,385024,7.460480000000001e-05,-0.001893135323189199,930,-0.0058023096062242985,0.0773681640625,0.32601481676101685,0.07460480000000001,-0.2996882081031799,0.9495137333869934,0.0008585033068811754,0.0006002862,,,
1710,95,682.09,679.94798572,227,389120,7.433173333333334e-05,-0.0013471570477122442,940,0.0005787450354546309,0.1245361328125,0.32607319951057434,0.07433173333333334,-0.29812485091388224,0.7165696620941162,0.008835533729870804,0.001371794,,,
1719,96,682.14,679.9984067299999,228,393216,7.405866666666667e-05,-0.0016857559414347634,950,0.01050824485719204,0.10146484375,0.3275917172431946,0.07405866666666668,-0.30010294169187546,0.7610548734664917,0.03855140074156225,0.0012521745,,,
1729,97,691.88,689.7334280500003,229,397312,7.378560000000001e-05,-0.0015418401977512985,960,-0.0010188377927988768,0.0711181640625,0.3276645541191101,0.0737856,-0.30343632996082304,0.9442563652992249,0.004065504251047969,0.0009674946,,,
,,,,,400000,7.351253333333334e-05,-0.0026887693427852357,970,-0.003673153929412365,0.115185546875,0.3271639943122864,0.07351253333333335,-0.30253863520920277,0.8468533158302307,0.005650297425017925,0.0013386945,912.6,910.475425,
1785,98,694.32,692.17666829,224,401408,,,,,,,,,,,,,,0.046875
1795,99,694.54,692.41359245,225,405504,7.323946666666668e-05,-0.0004669187619583681,980,0.007694113068282604,0.113623046875,0.3272649347782135,0.07323946666666668,-0.30145922116935253,0.8611084818840027,0.015587101015262306,0.0017499572,,,
1805,100,701.85,699.7417786,226,409600,7.296639999999999e-05,-0.0018493946648959537,990,-0.0037778764963150024,0.061962890625,0.3273957371711731,0.0729664,-0.3021135613322258,0.8899478912353516,0.005959396701655351,0.0011740834,,,
1814,101,701.94,699.8247810499998,228,413696,7.269333333333334e-05,-0.0011699655879056081,1000,-0.0009332069894298911,0.1114990234375,0.32787105441093445,0.07269333333333333,-0.30288184359669684,0.8539355397224426,0.007860783551586792,0.0016937077,,,
1823,102,682.23,680.1137960600001,229,417792,7.242026666666667e-05,-0.0011574079151614569,1010,-0.0007215901860035956,0.1129150390625,0.3283814489841461,0.07242026666666668,-0.3046024888753891,0.7092458009719849,0.0034394757611153183,0.0014382576,,,
,,,,,420000,7.21472e-05,0.0003664019910502248,1020,0.0006376177188940346,0.127197265625,0.3280044496059418,0.07214720000000001,-0.30500120893120763,0.9280492663383484,0.0033003426302457227,0.00093051966,411.4,409.7064364,
1855,103,688.3,686.1953201200002,227,421888,,,,,,,,,,,,,,0.046875
1866,104,690.48,688.3822019,228,425984,7.187413333333334e-05,-0.0012317140310187825,1030,0.0014145751483738422,0.1298583984375,0.3281402885913849,0.07187413333333334,-0.30430116802453994,0.7375887632369995,0.011481873225420713,0.0014486243,,,
1875,105,710.5,708.3999869200001,229,430080,7.160106666666667e-05,-0.0011782947629399132,1040,-0.0024545174092054367,0.089013671875,0.32874783873558044,0.07160106666666667,-0.30547278597950933,0.82468581199646,0.004094956493645441,0.0012578301,,,
