time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/std,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length,curriculum/shake_force
80,384,163840,426,906.3629147799999,0.07303466666666668,911.86,7.303466666666667e-05,-1.1554165363311768,0.04423828125,0.01866956055164337,0.055352903332095596,0.7674126625061035,0.00066208467,0.10189086198806763,-0.0018320179107831791,790,,,
81,386,165888,428,896.1998935899999,0.07269333333333333,901.77,7.269333333333334e-05,-1.1541495487093925,0.038818359375,0.01794579066336155,0.037561347847804426,0.767822265625,0.000808813,0.8203045129776001,-0.0017058442237612326,800,,,
82,389,167936,431,871.05386062,0.072352,876.57,7.2352e-05,-1.1556441575288772,0.019482421875,0.012990915216505527,0.02997513236477971,0.7690626382827759,0.00030694416,0.9044560194015503,-0.0010307358985301106,810,,,
83,391,169984,433,865.22127004,0.07201066666666667,870.77,7.201066666666668e-05,-1.1570838123559952,0.0212890625,0.056177787482738495,0.11446855822578073,0.7702240943908691,0.00024179957,0.780288815498352,-0.00047292203234974297,820,,,
84,394,172032,436,859.88180861,0.07166933333333335,865.41,7.166933333333334e-05,-1.1565309375524522,0.026171875,0.008475498296320438,0.01773675376898609,0.7680176496505737,0.00030985585,0.9281538128852844,-0.001009845185035374,830,,,
85,396,174080,438,850.2106408100002,0.071328,855.77,7.1328e-05,-1.1552337065339089,0.034423828125,0.0060730669647455215,0.03202678847010247,0.768597424030304,0.00038265134,0.6591277122497559,-0.0018142841872759163,840,,,
86,399,176128,441,846.7801792400002,0.07098666666666667,852.51,7.098666666666667e-05,-1.1550669193267822,0.012451171875,0.01133792195469141,0.031061844294890763,0.7674294114112854,0.00041205963,0.8517982959747314,-0.000925251527223736,850,,,
87,401,178176,443,840.0223324000002,0.07064533333333334,845.71,7.064533333333333e-05,-1.1548642590641975,0.014306640625,0.022250255569815636,0.023370956047438086,0.7686251401901245,0.0003826777,0.8259268999099731,-0.0009225832356605679,860,,,
,,180000,,,0.070304,,7.030400000000001e-05,-1.1552488490939141,0.006103515625,0.0036534154787659645,0.018193945090752096,0.7680723071098328,0.00024987487,0.9163269996643066,-0.001266075239982456,870,656.5084888,662.8,
88,388,180224,464,828.75947989,,834.68,,,,,,,,,,,,,1.1920928955078125
89,390,182272,466,817.6159405100002,0.06996266666666667,823.63,6.996266666666666e-05,-1.1548919647932052,0.019677734375,0.0507846362888813,0.10878890091553331,0.7678003311157227,0.00026332462,0.6727004051208496,-0.0013528192619560286,880,,,
90,393,184320,468,813.71714186,0.06962133333333334,819.7,6.962133333333334e-05,-1.1544670045375824,0.009228515625,0.008922620676457882,0.03673264956451021,0.7676199674606323,0.000247099,0.8652642965316772,-0.0009470968710957095,890,,,
91,395,186368,471,796.9524475799999,0.06928000000000001,803.05,6.928000000000001e-05,-1.154462891817093,0.021142578125,0.012286235578358173,0.031029683910310267,0.7675390243530273,0.00041156707,0.7883456945419312,-0.0009135020416579209,900,,,
92,397,188416,473,790.85853843,0.06893866666666666,796.99,6.893866666666666e-05,-1.1550752162933349,0.020751953125,0.03605324774980545,0.07895539242308587,0.7686023712158203,0.00038076186,0.7928587198257446,-0.0006215599962160923,910,,,
93,400,190464,475,788.1207022800002,0.06859733333333334,794.16,6.859733333333334e-05,-1.1555163383483886,0.010791015625,0.011415667831897736,0.016614193760324268,0.7680974006652832,0.00018790102,0.9175460338592529,-0.0016677128471201286,920,,,
94,402,192512,478,786.4538244799999,0.06825600000000001,792.57,6.825600000000002e-05,-1.1555118784308434,0.021533203125,0.009287642315030098,0.027766818279633298,0.7691280245780945,0.0003550928,0.7749792337417603,-0.0020859125826973466,930,,,
95,404,194560,480,777.79206648,0.06791466666666668,783.76,6.791466666666667e-05,-1.1559164196252822,0.0146484375,0.007513467222452164,0.019357609399594366,0.7682488560676575,0.00041283955,0.876724362373352,-0.0012951846059877426,940,,,
96,406,196608,483,765.9255840499999,0.06757333333333333,772.05,6.757333333333333e-05,-1.1549005672335624,0.0224609375,0.024196092039346695,0.05819741443265229,0.767815113067627,0.00035577264,0.8106673955917358,-0.0010205991216935217,950,,,
97,409,198656,485,754.67725632,0.06723200000000001,760.82,6.7232e-05,-1.154820217192173,0.045068359375,0.03115537203848362,0.0659128920873627,0.7679854035377502,0.0003996596,0.8064993619918823,-0.0022846819221740587,960,,,
,,200000,,,0.06689066666666667,,6.689066666666667e-05,-1.155669067800045,0.014794921875,0.023415111005306244,0.07181056062690913,0.7691142559051514,0.0003203498,0.8712040185928345,-0.0008193465560907498,970,626.6305795,633.8,
98,397,200704,505,750.3182574600002,,756.34,,,,,,,,,,,,,1.1920928955078125
99,399,202752,507,741.61532746,0.06654933333333332,747.54,6.654933333333332e-05,-1.1572679579257965,0.01298828125,0.018323544412851334,0.0233473458501976,0.7703691124916077,0.00016695782,0.8998311758041382,-0.0008930052921641618,980,,,
100,401,204800,509,739.6187274399999,0.066208,745.59,6.6208e-05,-1.1582659363746644,0.0091796875,0.01805625855922699,0.051145656523294745,0.7705895900726318,0.00033873413,0.8968544602394104,-0.00044467843981692566,990,,,
101,403,206848,512,730.90670122,0.06586666666666668,736.64,6.586666666666668e-05,-1.1564291998744012,0.015478515625,0.02223248779773712,0.03068355208961293,0.7676779627799988,0.00026331376,0.9231095910072327,-0.0011044475715607405,1000,,,
