time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/std,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length,curriculum/start_tilt
192512,313,94,613,562.17,518.15433233,0.012456346,930,0.11294319480657578,-0.007027727394597605,9.546013623094041e-05,0.0002714304,0.21480584144592285,-0.0025305699091404676,0.075439453125,0.18095360000000002,0.9996801018714905,,,
194560,315,95,616,552.85,509.04917157000006,0.004878843,940,0.12371716797351837,-0.0037189795286394654,0.00015109864873465994,0.00027112319999999997,0.21279358863830566,-0.0076990588568151,0.053369140625,0.18074880000000002,0.9996175169944763,,,
196608,316,96,620,562.17,518.81012816,0.001683886,950,0.13165460377931595,-0.003868152591167018,8.770007225393784e-05,0.00027081599999999995,0.21141912043094635,-0.006836777552962303,0.0259765625,0.180544,0.9998928308486938,,,
198656,318,97,624,580.81,538.5832338299999,0.001627566,960,0.14609998166561128,-0.003207206857041456,0.0001305045612525646,0.0002705088,0.20656491816043854,-0.00944742001593113,0.00751953125,0.18033920000000003,-9.007469177246094,,,
200000,,,,,,0.003655339,970,0.16202803552150727,-0.006122476514428854,0.00019283886572338816,0.00027020159999999996,0.20527341961860657,-0.014548363164067268,0.091064453125,0.18013440000000003,0.9987311959266663,998.9789466,1000.0,
200704,305,98,656,590.12,548.3435091,,,,,,,,,,,,,,0.15295114312695304
202752,307,99,660,562.11,520.10817531,0.007918332,980,0.16899187564849855,-0.012039838271448389,5.7423400448897155e-05,0.0002698944,0.20329999923706055,-0.007195619400590658,0.141357421875,0.17992960000000002,-1.5529215335845947,,,
204800,308,100,664,562.0,520.28346737,0.003677224,990,0.17651967108249664,-0.004204320261487737,0.00038069601114329996,0.00026958719999999997,0.2023991197347641,-0.004041696432977915,0.0947265625,0.17972480000000002,0.9995375871658325,,,
206848,309,101,668,580.58,539.8253366499999,0.005736362,1000,0.18311326950788498,-0.007142421667231247,8.508721361977223e-05,0.00026927999999999994,0.200266033411026,-0.006801705341786146,0.101416015625,0.17952,0.9998646378517151,,,
208896,310,102,671,580.58,540.1422453600001,0.0020279286,1010,0.19436198920011521,-0.0026648480939911678,0.0003672844667562458,0.0002689728,0.19816239178180695,-0.002414568793028593,0.016748046875,0.1793152,-2.0718727111816406,,,
210944,312,103,675,599.19,559.85777384,0.0067597604,1020,0.2036449447274208,-0.008144129667198286,0.00011237758908464457,0.00026866559999999995,0.1966421753168106,-0.01663297787308693,0.113134765625,0.1791104,-4.017790794372559,,,
212992,314,104,678,589.87,550.3563896100001,0.007712053,1030,0.21098148822784424,-0.010612208256497979,0.00013864618224488368,0.0002683584,0.19515138864517212,-0.010137663222849369,0.124951171875,0.1789056,0.9948137998580933,,,
215040,315,105,681,589.87,550.6443694900001,0.0030991416,1040,0.21689582318067552,-0.0032988539314828813,0.00017783270845939114,0.00026805119999999996,0.19445069134235382,-0.007942679338157177,0.0283203125,0.1787008,0.9982364773750305,,,
217088,316,106,685,599.15,560.5493700000001,0.0004515533,1050,0.22569870501756667,-0.0010219532035989688,0.00015160334003212484,0.00026774399999999994,0.19163551926612854,-0.004343063570559025,0.027978515625,0.178496,-0.04661297798156738,,,
219136,317,107,689,589.84,551.1035320600001,0.004973989,1060,0.2379364550113678,-0.005760941401240416,0.00039084917325453715,0.00026743679999999997,0.18998174369335175,-0.0035371750127524137,0.0962890625,0.1782912,-2.4660191535949707,,,
220000,,,,,,0.0062827016,1070,0.24344412237405777,-0.0066687525031738915,0.0002120713834756316,0.0002671296,0.18937097489833832,-0.0009549076203256845,0.082421875,0.1780864,0.9977619647979736,998.6626106,1000.0,
221184,306,108,720,580.53,541.6806822599999,,,,,,,,,,,,,,0.17589381459599598
223232,308,109,724,589.84,551.64926989,0.0055561904,1080,0.24740965366363527,-0.006859663536306471,7.390901530470728e-05,0.0002668224,0.18845133483409882,-0.007038154639303684,0.0857421875,0.1778816,0.9996472001075745,,,
225280,309,110,728,561.89,522.6770118399999,0.008217986,1090,0.25506057888269423,-0.004667691752547398,0.00012195416018130345,0.00026651519999999995,0.18633726239204407,-0.009154089726507664,0.084228515625,0.1776768,0.9957661628723145,,,
227328,310,111,732,543.26,503.43897266,0.0051789377,1100,0.2643541157245636,-0.003241958066064399,0.00029548929455813777,0.000266208,0.18530093133449554,-0.008292739279568195,0.049853515625,0.17747200000000002,0.9994308352470398,,,
229376,311,112,736,533.95,493.82946207000003,0.0031072036,1110,0.27008895874023436,-0.0036623767868150026,0.00013801496395444702,0.00026590079999999996,0.1840057373046875,-0.00677488325163722,0.031689453125,0.1772672,0.999824047088623,,,
